weekofyear,ndvi_ne,ndvi_nw,ndvi_se,ndvi_sw,reanalysis_relative_humidity_percent,reanalysis_specific_humidity_g_per_kg,station_avg_temp_c,station_diur_temp_rng_c,station_max_temp_c,station_min_temp_c,station_precip_mm,total_cases
26,0.1928857,0.1322571,0.3408857,0.2472,92.4185714286,16.6514285714,26.4,10.775,32.5,20.7,3.0,0
27,0.2168333,0.2761,0.2894571,0.2416571,93.5814285714,16.8628571429,26.9,11.5666666667,34.0,20.8,55.6,0
28,0.1767571,0.1731286,0.2041143,0.1280143,95.8485714286,17.12,26.8,11.4666666667,33.0,20.7,38.1,0
29,0.2277286,0.1454286,0.2542,0.2003143,87.2342857143,14.4314285714,25.7666666667,10.5333333333,31.5,14.7,30.0,0
30,0.3286429,0.3221286,0.2543714,0.3610429,88.1614285714,15.4442857143,26.6,11.48,33.3,19.1,4.0,0
31,0.2055286,0.1907571,0.2316714,0.2553143,74.7285714286,13.4214285714,25.34,10.94,32.0,17.0,11.5,0
32,0.3124857,0.3299857,0.3805857,0.3872714,83.2757142857,15.3114285714,27.0166666667,11.65,34.0,19.9,72.9,0
33,0.3841333,0.39224,0.34178,0.38275,82.49,15.4657142857,26.5833333333,10.3166666667,33.0,20.5,50.1,0
34,0.4081571,0.3221571,0.4067143,0.3027143,74.74,14.4442857143,26.9,13.4,34.0,19.0,89.2,0
35,0.3320429,0.3210571,0.3146143,0.3242571,74.1514285714,15.0571428571,27.1166666667,12.2666666667,34.0,20.0,78.0,0
36,0.2955857,0.2956833,0.3122143,0.2659286,57.7871428571,12.6528571429,28.3666666667,12.9,35.8,21.7,56.9,1
37,0.2846571,0.3097571,0.3878833,0.3281571,71.66,15.2271428571,27.425,12.775,34.5,20.5,18.9,0
38,0.3488143,0.2957167,0.4048429,0.2425714,77.4871428571,14.3385714286,27.5333333333,12.5666666667,36.0,20.5,104.2,0
39,0.1756857,0.09948333,0.2257143,0.1827857,71.4628571429,14.7985714286,27.15,12.175,34.0,20.5,57.9,0
40,0.33754,0.2769429,0.2775,0.25505,82.3714285714,16.1485714286,26.7,11.675,34.0,20.0,63.0,0
41,0.2235333,0.1339143,0.3498,0.1009167,81.5228571429,16.0714285714,27.6571428571,11.3,34.0,21.0,3.0,1
42,0.2748,0.1870571,0.3739429,0.2794714,75.54,15.5285714286,27.775,12.275,36.0,21.0,45.2,1
43,0.3673,0.30555,0.45538,0.3258,76.9414285714,16.1957142857,28.0,12.4666666667,34.6,20.0,57.9,0
44,0.2951,0.21152,0.3044,0.2796167,79.4285714286,16.8685714286,27.6,12.3333333333,35.5,21.1,7.1,0
45,0.2713667,0.1515667,0.34725,0.2318667,74.8028571429,16.8471428571,28.175,12.25,35.2,21.5,13.5,0
46,0.09993333,0.03586,0.1954857,0.06418333,67.1857142857,15.88,29.025,13.1,36.4,21.7,0.0,0
47,0.1699833,0.2893,0.3009833,0.1709167,66.0428571429,14.7685714286,27.7,11.35,36.5,21.5,,0
48,0.2519714,0.2538,0.3235143,0.3191,78.8857142857,16.2442857143,27.05,11.575,34.2,21.0,19.0,0
49,0.1658333,0.1824143,0.2545667,0.18625,68.5571428571,14.9,28.0,12.0,34.0,22.0,0.8,0
50,0.3387857,0.3168286,0.3503429,0.2977,80.4085714286,16.0985714286,26.6166666667,9.65,33.8,21.0,67.2,1
51,0.2650143,0.1690571,0.2348667,0.3022429,60.6414285714,13.1885714286,28.2,12.2833333333,35.0,21.0,0.0,0
1,0.2547143,0.2285286,0.2505857,0.287,94.9557142857,18.6728571429,27.3333333333,11.0,33.3,21.8,38.9,0
2,0.3021333,0.2035167,0.2674333,0.274,82.3471428571,15.8585714286,27.0,11.225,33.2,20.7,59.9,0
3,0.1747571,0.1033167,0.2582429,0.1767286,84.1757142857,16.6,27.05,10.9,33.0,20.5,52.0,0
4,0.2376,0.1912667,0.1258571,0.2314429,94.0571428571,16.0714285714,25.7166666667,9.43333333333,31.2,20.0,166.9,0
5,0.3415,0.2606667,0.3293857,0.3690714,95.4071428571,15.86,26.4333333333,9.66666666667,33.0,20.0,147.8,0
6,0.2335857,0.161,0.1966143,0.2267,89.08,14.9471428571,27.35,10.025,34.2,21.7,3.3,0
7,0.1554143,0.1350167,0.1485286,0.1571,94.8842857143,15.93,26.3,8.95,33.0,21.0,83.1,0
8,0.1353714,0.0823,0.1297571,0.1840429,92.8428571429,16.2514285714,26.9333333333,10.0,33.2,21.0,38.1,0
9,0.30764,0.2282167,0.2245,0.2912833,93.3142857143,17.3085714286,26.56,9.48,33.2,20.5,21.1,0
10,0.1820429,0.289,0.2068714,0.2063286,94.0928571429,18.0557142857,27.2,10.15,33.3,20.0,87.1,0
11,0.2053833,0.1769,0.2063571,0.2041286,94.0942857143,17.0657142857,27.05,12.1,34.2,20.0,39.9,0
12,0.1883429,0.1950333,0.1635429,0.2841429,82.8014285714,16.7571428571,27.4333333333,11.4333333333,34.1,20.0,70.8,0
13,0.16238,0.1508167,0.09465714,0.1322571,95.9242857143,17.6685714286,27.05,10.95,34.2,20.0,80.0,0
14,0.2678143,0.3126429,0.2615,0.2584,96.7371428571,17.21,27.16,10.98,35.0,20.5,46.2,0
15,0.3827571,0.3709714,0.3438857,0.3762714,94.6028571429,17.6957142857,26.46,11.66,34.0,19.5,120.1,0
16,0.3125429,0.2822143,0.2621286,0.4074857,94.6157142857,17.52,27.34,11.04,33.5,20.4,45.3,1
17,0.2456143,0.2148429,0.2733714,0.2288,88.1485714286,16.9685714286,27.6333333333,10.9333333333,34.3,21.0,14.9,0
18,0.2540143,0.179,0.3128286,0.2625571,92.1928571429,17.3057142857,27.625,11.325,35.2,20.5,51.0,0
19,0.2664571,0.1886,0.1962,0.2273286,95.82,17.8914285714,26.6,8.8,32.7,21.4,66.0,0
20,0.3153429,0.31965,0.2627,0.3034857,98.3414285714,18.64,,,32.5,,0.0,0
21,0.2985857,0.3796667,0.1842429,0.2685286,94.71,17.3685714286,27.4333333333,11.9333333333,34.2,20.5,64.1,1
22,0.2999429,0.3029429,0.3187143,0.3874429,91.4657142857,16.6942857143,27.25,12.65,34.8,20.5,32.0,1
23,0.3635667,0.1819143,0.2539714,0.2467286,89.4871428571,15.9685714286,26.8666666667,10.7333333333,34.0,19.8,17.0,0
24,0.3170833,0.2989667,0.2198714,0.2173429,94.0171428571,15.7828571429,26.88,10.68,33.4,20.0,37.1,0
25,0.1041,0.1082429,0.05965714,0.1137571,88.1714285714,15.1342857143,26.4,10.05,33.2,20.5,9.9,1
26,0.1923,0.2752857,0.3164571,0.3254143,79.3228571429,12.4642857143,,,32.3,17.1,31.0,0
27,0.2290833,0.1932667,0.2704571,0.2421857,84.8571428571,14.2971428571,26.5,11.3666666667,33.2,20.0,70.1,0
28,0.3597167,0.3110571,0.2649857,0.4388429,88.3228571429,14.9285714286,27.35,10.95,33.5,19.5,22.3,0
29,0.3195,0.2050857,0.1947429,0.3616333,84.2457142857,15.6057142857,26.7666666667,10.0666666667,32.8,21.0,36.8,0
30,0.2911571,0.2526333,0.2182,0.3259857,90.8142857143,16.5057142857,27.3666666667,11.4,34.0,21.2,25.2,0
31,0.2371167,0.1956167,0.1883143,0.1339,82.2257142857,14.9857142857,26.52,10.88,34.0,18.4,10.9,0
32,0.2007571,0.2377286,0.2236429,0.2043571,66.6642857143,13.1585714286,27.1,12.175,33.5,17.8,,0
33,0.2821714,0.2735571,0.2658571,0.3664571,69.4757142857,13.7157142857,27.125,12.25,33.4,20.0,18.0,0
34,0.2407571,0.1931143,0.2063429,0.2469143,78.3885714286,15.5114285714,27.6,11.68,34.2,20.0,47.9,0
35,0.2280714,0.1999857,0.2331429,0.2646429,76.9557142857,15.2514285714,27.2,12.4666666667,35.2,20.0,31.0,0
36,0.30695,0.2410286,0.1908714,0.3389429,81.9871428571,16.4371428571,27.375,12.15,34.3,20.8,35.1,0
37,0.3084571,0.2503143,0.2983,0.4290714,78.9571428571,15.6585714286,27.375,11.525,35.2,20.1,41.9,0
38,0.3533143,0.3439714,0.3586714,0.3530429,84.0328571429,16.1042857143,27.525,12.75,35.0,20.2,69.0,0
39,0.3346714,0.3886143,0.2854,0.3197714,79.3657142857,15.8942857143,27.25,11.925,33.4,20.3,13.2,0
40,0.3343857,0.2712857,0.2416857,0.4444,78.33,16.34,28.3,13.34,35.5,20.4,14.2,0
41,0.4202857,0.3819571,0.4438,0.5460167,74.4185714286,15.3271428571,28.525,12.475,36.8,21.8,30.9,0
42,0.3102,0.2971286,0.3454857,0.3820571,72.1628571429,15.8728571429,27.6333333333,12.5333333333,36.7,20.0,159.0,0
43,0.1244833,0.2392667,0.1845,0.2055714,90.2657142857,18.2671428571,28.0666666667,11.9666666667,35.0,21.0,89.1,0
44,0.2108857,0.2075667,0.2066143,0.232,85.5728571429,16.9585714286,27.64,10.38,35.8,21.5,76.0,0
45,0.3581429,0.2793429,0.3059714,0.3714,89.0042857143,17.8214285714,27.525,11.025,34.4,21.3,35.1,0
46,0.2773286,0.2303,0.2773,0.2969714,87.4814285714,17.8,28.44,10.18,34.5,21.0,43.9,0
47,0.3297,0.3304167,0.3406429,0.4415714,88.8371428571,18.4514285714,27.575,11.575,33.7,20.8,31.0,1
48,0.3015,0.3613,0.3055714,0.3699167,87.3771428571,17.4271428571,28.2333333333,11.6666666667,35.3,21.8,12.2,1
49,0.3250571,0.2264714,0.2992571,0.3504714,87.24,17.5957142857,28.425,11.65,35.5,21.2,23.1,1
50,0.3260333,0.2355333,0.3155714,0.3066429,96.1185714286,19.3057142857,27.84,10.96,35.0,21.0,75.0,2
51,0.2229429,0.2240714,0.2128143,0.1841286,93.9471428571,18.9657142857,27.075,9.5,32.9,21.0,57.9,4
52,0.2981889,0.3380778,0.2887889,0.3417,96.3557142857,19.3028571429,27.35,8.65,33.3,22.0,25.1,1
1,0.4057286,0.3484,0.3686429,0.3800143,94.5885714286,17.6185714286,27.95,9.45,33.2,23.0,45.3,4
2,0.3275833,0.3759167,0.4102667,0.3833333,76.6028571429,16.4828571429,28.9666666667,11.9333333333,35.4,21.0,7.1,11
3,0.2410857,0.14565,0.2780286,0.1976429,75.2042857143,16.1571428571,28.8,12.7666666667,36.0,22.0,5.0,16
4,0.1041286,0.1483286,0.1121857,0.1419143,81.5271428571,16.6771428571,27.94,11.8,35.8,21.0,18.0,23
5,,,,,96.2671428571,17.69,26.3,9.7,32.5,20.8,120.2,12
6,0.1849167,0.1733286,0.1687429,0.1844286,96.6414285714,16.7228571429,26.625,9.725,34.0,20.8,70.4,14
7,0.2919714,0.2241429,0.3051,0.3732714,93.4385714286,18.1471428571,27.85,10.725,33.6,20.8,62.8,18
8,0.1288,0.1224333,0.09594286,0.1251714,92.05,17.6871428571,27.02,9.78,33.5,21.0,14.0,8
9,0.1162,0.1787429,0.08991429,0.2104143,97.1571428571,18.1257142857,26.7,9.6,32.2,20.5,47.6,7
10,0.3183667,0.2556,0.266,0.2973833,91.2214285714,18.3614285714,27.85,13.2,35.7,21.0,48.3,10
11,0.2483857,0.1795,0.2698143,0.2992333,89.7785714286,17.7957142857,26.95,10.45,34.5,21.6,9.1,7
12,0.2265857,0.2483333,0.2302,0.2435143,94.1657142857,18.4428571429,26.95,11.775,33.3,20.6,76.8,10
13,0.2127857,0.27455,0.1987,0.2284571,98.4571428571,17.68,26.1,10.3,32.3,20.7,49.0,5
14,0.19708,0.2962286,0.1805,0.2763286,97.7757142857,18.3957142857,27.3,10.4,32.5,20.2,20.1,11
15,0.2698286,0.1968143,0.2025857,0.2662857,97.2442857143,17.93,26.3,9.4,31.4,20.8,13.0,8
16,0.26935,0.2121571,0.1889286,0.1949429,92.6157142857,17.9357142857,27.2,13.0,34.6,20.3,,18
17,0.2678429,0.2614143,0.2485,0.2669286,95.2514285714,18.2228571429,27.2666666667,10.7,33.3,21.7,53.9,13
18,0.1703571,0.1418286,0.1977286,0.2570714,93.8457142857,17.8071428571,,,33.5,21.2,1.0,9
19,0.2272571,0.1782429,0.1773857,0.2101143,95.22,18.0242857143,27.5,11.525,34.0,21.3,25.4,22
20,0.1338,0.1096333,0.2196143,0.1417,97.2428571429,17.7442857143,26.8666666667,9.7,32.3,20.8,543.3,10
21,0.1921143,0.1776429,0.2308571,0.2222,94.8042857143,17.5842857143,27.7,12.15,33.8,20.8,9.1,5
22,0.1764571,0.1749143,0.1881571,0.2386286,93.7885714286,17.8228571429,26.325,9.775,32.3,20.8,146.7,13
23,0.3204714,0.2780857,0.2377286,0.3431857,94.3457142857,16.7742857143,27.3,11.6333333333,34.3,20.7,28.0,2
24,0.3862667,0.2591333,0.3284143,0.3916286,94.1442857143,17.6385714286,27.8,11.5,34.0,20.7,1.0,11
25,0.2212714,0.1735143,0.2119714,0.2252143,85.7371428571,15.4142857143,26.2333333333,8.73333333333,33.0,18.8,31.0,11
26,0.1791714,0.2791,0.1326143,0.2132857,82.1671428571,13.87,26.15,10.8,32.6,18.6,7.1,3
27,0.1015429,0.1266,0.1193571,0.07624286,85.5657142857,13.4542857143,26.275,9.5,32.6,20.7,5.1,7
28,0.21602,0.2350667,0.1511857,0.2129714,85.6728571429,14.4642857143,26.1333333333,10.6333333333,32.3,20.3,26.3,7
29,0.1080429,0.07298571,0.1112286,0.1179714,84.6685714286,14.8185714286,25.4,9.0,30.1,20.1,0.0,4
30,0.2225,0.2631,0.2489857,0.3464714,83.4971428571,14.93,27.8,11.6,33.6,19.5,68.1,5
31,0.3870143,0.2601714,0.3492714,0.2830571,87.0342857143,16.0757142857,26.7,11.14,33.8,19.3,35.6,6
32,0.3041167,0.2788429,0.3074571,0.3378429,80.47,14.2457142857,27.25,12.8,34.0,20.2,0.0,7
33,0.3771571,0.3059,0.2884,0.3608429,69.06,13.4414285714,27.8333333333,12.2333333333,35.1,20.6,7.1,7
34,0.345425,0.31354,0.29505,0.3092667,82.1414285714,14.0457142857,,,33.1,20.8,70.6,4
35,0.3045429,0.2694429,0.2508571,0.3224714,77.7657142857,15.4128571429,27.4,11.15,35.1,20.9,24.1,9
36,0.2290143,0.1319714,0.2494571,0.1908857,77.0828571429,16.0342857143,27.4,10.475,33.3,21.7,17.0,17
37,0.3075429,0.2941714,0.3234,0.1907714,73.1414285714,14.7457142857,28.2333333333,13.2333333333,35.9,19.9,89.9,8
38,0.3274143,0.3472571,0.3386714,0.3838714,64.6885714286,13.9742857143,28.9,12.7,36.6,21.5,0.8,22
39,0.2379833,0.3084286,0.2681143,0.3200429,79.5628571429,16.18,27.9,12.2,36.0,20.4,86.9,18
40,0.2721143,0.1793667,0.3142429,0.2741714,74.25,15.6342857143,29.2,14.1333333333,37.7,21.7,74.2,21
41,0.37815,0.3857833,0.2314286,0.2459333,85.1371428571,17.2114285714,28.075,11.45,34.6,21.8,79.8,16
42,0.1992714,0.1592429,0.2581286,0.2277143,86.9985714286,17.1857142857,28.0,11.6333333333,34.2,22.0,4.5,31
43,0.2278714,0.2144571,0.2997714,0.2229429,87.7171428571,16.49,27.95,10.3,36.0,21.8,167.8,25
44,0.3290857,0.2862143,0.2940571,0.3159286,91.9442857143,18.6028571429,,,34.1,22.5,34.1,28
45,0.3071429,0.27695,0.2879286,0.3642857,95.2857142857,18.2671428571,28.3,11.0,33.8,22.6,63.9,26
46,0.2368333,0.2021571,0.2095143,0.1620286,96.0471428571,17.9071428571,27.6,10.7,33.6,21.4,212.6,18
47,0.2506143,0.2791333,0.2156333,0.2982667,96.84,18.4157142857,27.35,8.9,33.5,21.7,77.0,27
48,0.3109286,0.2852286,0.2907286,0.2563286,93.3957142857,18.7842857143,28.1,10.55,34.0,22.0,17.2,11
49,0.3008,0.2528,0.3449571,0.3483286,90.6628571429,18.1057142857,28.5,9.75,33.7,22.9,46.0,38
50,0.2680286,0.1424286,0.2886714,0.1850714,92.6142857143,18.0042857143,27.65,9.45,34.0,22.9,57.2,29
51,0.2542286,0.1839143,0.2707143,0.2090286,93.8457142857,18.2614285714,27.98,8.72,34.0,23.3,24.0,21
52,0.1194,0.1364,0.1718286,0.1895857,93.4085714286,18.2357142857,27.975,10.65,33.8,21.9,137.9,11
1,0.3234143,0.3004143,0.3291857,0.3184286,84.06,17.4528571429,28.45,9.95,34.4,22.4,92.9,10
2,0.4884,0.4024429,0.4149286,0.4697,91.56,17.4971428571,28.9333333333,10.2,35.0,22.1,35.1,5
3,0.303,0.1694667,0.2915429,0.3012857,94.3742857143,17.43,28.0,9.5,33.3,22.5,164.4,6
4,0.2249571,0.2602714,0.2069286,0.2895,84.46,16.5142857143,28.4,10.6,34.2,23.0,67.1,2
5,0.1660286,0.1406286,0.1913857,0.1834429,74.8842857143,15.5928571429,28.6,12.0,35.4,22.5,7.9,1
6,0.19145,0.08642857,0.1368,0.1567143,94.5528571429,17.8528571429,26.6,7.0,33.8,22.4,41.9,2
7,0.3137143,0.2284143,0.2521143,0.2864714,94.3542857143,17.0157142857,26.75,8.35,33.2,22.4,55.9,2
8,0.1262571,0.1355143,0.1036571,0.1337143,89.9742857143,18.02,,,32.4,23.3,121.9,3
9,0.2976,0.2366333,0.22915,0.2072833,86.0128571429,18.0442857143,29.4,11.2,35.0,22.9,0.0,5
10,0.1695286,0.1389571,0.2340571,0.1851429,92.4685714286,17.5,27.95,9.1,32.9,22.9,5.0,1
11,0.2,0.1902857,0.1589429,0.1636286,96.1714285714,17.5157142857,26.7,7.5,32.0,22.1,98.4,4
12,0.2142143,0.2251571,0.2191714,0.2485,93.6285714286,18.2528571429,27.6,9.9,33.5,22.7,61.9,2
13,0.1475286,0.2694571,0.1268571,0.2059143,91.5942857143,18.4842857143,30.8,15.8,42.2,21.8,75.9,4
14,0.2482,0.2627714,0.2065,0.2886857,93.0142857143,18.2785714286,28.26,9.96,34.2,22.6,75.0,0
15,0.2052429,0.1842,0.1931286,0.2087857,96.27,19.0785714286,28.175,9.675,34.5,22.9,79.0,0
16,0.2668286,0.2182286,0.1998714,0.2621429,95.9928571429,17.5342857143,27.72,8.48,34.2,22.4,49.0,0
17,0.3234429,0.2531714,0.2852286,0.2931,92.5471428571,18.1557142857,28.2,10.45,33.9,21.8,82.9,0
18,0.4350571,0.3769143,0.2636143,0.3348429,97.2771428571,17.6885714286,27.2,8.33333333333,32.9,22.7,105.9,1
19,0.1994286,0.1501,0.1834667,0.1477,96.14,17.2228571429,28.35,9.31666666667,33.6,23.4,69.0,1
20,0.2454286,0.1847,0.2614571,0.2688857,98.1328571429,16.0857142857,27.0,8.8,32.5,22.0,246.2,1
21,0.1892571,0.16695,0.1843,0.1707429,95.8542857143,16.5157142857,27.4666666667,8.9,32.5,22.3,145.8,1
22,0.2411429,0.1987,0.2537286,0.2544571,92.4614285714,17.6185714286,27.7,8.72,35.0,22.4,187.9,1
23,0.2369571,0.1213143,0.1923143,0.2074,97.6171428571,17.6514285714,27.2,8.15,33.4,22.4,72.1,2
24,0.3135857,0.3539833,0.2658571,0.2809143,96.2228571429,17.6685714286,27.7,9.575,33.2,21.6,107.0,3
25,0.3237,0.2755,0.3547571,0.2723143,90.0485714286,15.4771428571,27.525,10.725,33.5,21.8,40.4,4
26,0.1882571,0.2322667,0.1737714,0.1928,95.5757142857,15.9857142857,26.95,9.45,32.7,21.9,93.5,6
27,0.2618143,0.1715857,0.3099429,0.2584286,94.1271428571,15.5114285714,25.8666666667,7.5,33.8,21.7,79.3,2
28,0.1802714,0.1629714,0.1541286,0.1611,86.6557142857,15.6185714286,27.075,10.875,33.2,20.7,1.5,2
29,0.1935714,0.16885,0.1590857,0.2314714,85.6114285714,15.2971428571,27.6666666667,10.8333333333,33.4,17.4,23.8,5
30,0.2858143,0.1630714,0.2880286,0.2774571,77.8042857143,13.5585714286,26.4666666667,10.3666666667,32.1,18.0,9.9,1
31,0.2077857,0.1562143,0.1743286,0.2188143,82.27,14.6857142857,27.225,9.9,32.4,21.3,69.1,1
32,0.2443714,0.1746429,0.2174143,0.2323,77.8614285714,14.5842857143,27.85,11.2,34.2,21.3,117.0,0
33,0.2471143,0.1711143,0.2337429,0.2638,83.9271428571,15.5885714286,27.4,10.05,34.4,21.7,79.0,0
34,0.4252429,0.3624833,0.3566143,0.3855286,81.9428571429,15.01,27.75,11.9,34.0,20.0,18.3,0
35,0.2495857,0.2122,0.2508143,0.2652143,85.7257142857,16.4457142857,28.0,12.1,34.4,21.4,95.7,0
36,0.3417,0.2863143,0.2101857,0.2659857,70.9285714286,12.9471428571,26.65,11.9,33.9,18.5,0.8,2
37,0.2232286,0.2028714,0.1952571,0.2701857,76.5328571429,15.4471428571,27.8333333333,12.3,34.3,21.0,53.1,0
38,0.3644857,0.2609857,0.3164571,0.3851571,85.03,15.3114285714,27.8,11.6,35.3,16.8,92.3,3
